code,name,trading_value,open_price,high_price,low_price,close_price
710879,精材國泰62購01,68800,3.44,3.44,3.44,3.44
710880,大中富邦61購01,0,,,,
710881,宜鼎富邦61購02,0,,,,
710882,中光電群益61購02,13600,0.17,0.17,0.17,0.17
710883,宜鼎群益61購02,127500,0.51,0.51,0.51,0.51
710884,宜鼎群益61購03,0,,,,
710885,威剛群益61購05,730,0.73,0.73,0.73,0.73
710886,建榮群益62購01,0,,,,
710887,群聯群益67購03,243400,2.7,2.71,2.7,2.71
710888,精材群益64購01,0,,,,
710889,精剛群益61購01,0,,,,
710890,精剛群益61購02,0,,,,
710891,聚和群益61購01,0,,,,
710892,雙鴻群益61購02,118600,6.85,7.6,6.85,7.6
710893,中美晶元大64購01,39420,1.33,1.33,1.31,1.31
710894,中美晶元大66購04,272010,1.15,1.19,1.15,1.17
710895,台嘉碩元大61購02,23460,0.46,0.46,0.46,0.46
710896,均豪元大61購02,0,,,,
710897,宜特元大65購01,53920,0.74,0.74,0.73,0.73
710898,宜特元大67購02,148650,0.45,0.45,0.43,0.43
710899,欣銓元大61購02,1166170,1.23,1.37,1.23,1.37
710900,家登元大61購02,203780,1.02,1.03,1.02,1.03
710901,能率元大61購02,0,,,,
710902,臺慶科元大64購02,0,,,,
710903,鑫科元大61購01,90000,0.25,0.25,0.25,0.25
710904,太普高國票65購01,0,,,,
710905,安碁國票61購01,252100,0.72,0.73,0.7,0.7
710906,利機國票61購01,0,,,,
710907,杰力國票65購01,0,,,,
710908,倉和國票65購01,294850,5.3,5.35,5.1,5.35
710909,晟田國票61購02,0,,,,
710910,創泓國票61購01,25100,1.35,1.35,1.29,1.29
710911,博大國票61購01,0,,,,
710912,新普國票65購01,0,,,,
710913,聖暉*國票65購01,31500,0.21,0.21,0.21,0.21
710914,類比科國票61購01,23000,0.4,0.4,0.38,0.38
710915,寶雅國票61購03,30530,0.66,0.67,0.66,0.67
710916,驊訊國票61購01,0,,,,
710917,大中凱基61購02,0,,,,
710918,中美晶凱基66購01,35600,0.89,0.89,0.89,0.89
710919,台嘉碩凱基61購03,0,,,,
710920,宏觀凱基61購04,0,,,,
710921,宜鼎凱基61購02,114000,0.38,0.38,0.38,0.38
710922,欣銓凱基61購03,16820,0.91,1.0,0.91,1.0
710923,威剛凱基61購03,960,0.96,0.96,0.96,0.96
710924,茂達凱基61購03,0,,,,
710925,博大凱基61購01,0,,,,
710926,群聯凱基61購07,366090,1.23,1.25,1.18,1.18
710927,雙鴻凱基61購05,0,,,,
710928,大中群益61購02,0,,,,
710929,中光電群益61購03,0,,,,
710930,欣銓群益61購01,89430,0.69,0.77,0.69,0.77
710931,茂達群益61購02,0,,,,
710932,家登群益61購04,1226480,1.51,1.58,1.5,1.58
710933,新普群益61購01,0,,,,
710934,新普群益61購02,0,,,,
710935,精材群益64購02,8430,1.65,1.71,1.65,1.71
710936,中美晶國泰64購01,0,,,,
710937,中光電富邦64購01,0,,,,
710938,威剛富邦64購01,0,,,,
710939,茂達富邦63購02,0,,,,
710940,華電網富邦63購01,15500,0.31,0.31,0.31,0.31
710941,萬泰科富邦63購02,0,,,,
710942,群聯中信67購01,0,,,,
710943,中光電永豐61購03,0,,,,
710944,艾訊永豐61購01,0,,,,
710945,杰力永豐64購01,0,,,,
710946,長聖永豐61購01,74460,0.51,0.51,0.51,0.51
710947,威剛永豐61購08,0,,,,
710948,威剛永豐64購03,0,,,,
710949,茂達永豐65購01,0,,,,
710950,倉和永豐61購01,10500,10.5,10.5,10.5,10.5
710951,倉和永豐64購01,10800,10.8,10.8,10.8,10.8
710952,宸曜永豐61購01,0,,,,
