code,name,trading_value
5704,老爺知,383550
5864,致和證,82745594
5878,台名,49180
5902,德記,6649685
5903,全家,2849655
5904,寶雅*,244250644
5905,南仁湖,5346604
6015,宏遠證,29815218
6016,康和證,76122993
6020,大展證,305800
6021,美好證,27535214
6023,元大期,21507089
6026,福邦證,12685345
6028,公勝保經,104561
6101,寬魚國際,7377989
6103,合邦,94789
6104,創惟,22525035
6109,亞元,13173028
6111,光聚晶電,5507248
6113,亞矽,1592043
6114,久威,211758
6118,建達,946008
6121,新普,97259191
6122,擎邦,17260221
6123,上奇,1044914
6124,業強,108018
6125,廣運,20633883
6126,信音,7315845
6127,九豪,97626886
6129,普誠,9817636
6130,上亞科技,1431564
6134,萬旭,2247610
6138,茂達,85384557
6140,訊達,5384149
6143,振曜,17467678
6144,得利影,27329
6146,耕興,31063215
6147,頎邦,7661253927
6148,驊宏資,45834519
6150,撼訊,13444228
6151,晉倫,3047955
6154,順發,335153
6156,松上,8546841
6158,禾昌,741024
6160,欣技,450221
6161,捷波,2453976
6163,華電網,13807750
6167,久正,1804355
6169,昱泉,109375
6170,統振,4943536
6171,大城地產,1466744
6173,信昌電,7421419225
6174,安碁,20090528
6175,立敦,26840135
6179,亞通,450883718
6180,橘子,4602651
6182,合晶,1864961447
6185,幃翔,6145419
6186,新潤,11399135
6187,萬潤,2419243365
6188,廣明,37739377
6190,萬泰科,62680983
6194,育富,493204
6195,詩肯,591192
6198,瑞築,63810
6199,天品,310439758
6203,海韻電,3283734
6204,艾華,19666601
6207,雷科,299222472
6208,日揚,10711509
6210,慶生,637570
6212,理銘,38545
6217,中探針,307634067
6218,豪勉,63381474
6219,富旺,686103
6220,岳豐,1187770
6221,晉泰,8041814
6222,立軒,95945
6223,旺矽,3116575835
6227,茂綸,630524370
6228,全譜,0
6229,研通,164067
6231,系微,83122493
6233,旺玖,1157550
6234,高僑,7179567
6236,中湛,0
6237,驊訊,2630956
6240,松崗,1454210
6241,鑫永洋,622578
6242,立康,43843
6244,茂迪,24244545
6245,立端,284295949
6246,臺龍,88649
6248,沛波,817558
6259,百徽,4779150
6261,久元,22045003
6263,普萊德,6029488
6264,富裔,444471
6265,方土昶,100998482
6266,泰詠,1963556
6270,倍微,3210433
6274,台燿,10403829025
6275,元山,4927592
6276,安鈦克,317323
6279,胡連,26486535
6284,佳邦,55249449
6290,良維,383455748
6291,沛亨,1006698738
6292,迅德,51726415
6294,智基,184559
6411,晶焱,12183715
6417,韋僑,1590191
6418,詠昇,3804993
6419,京晨科,14933257
6423,億而得,1557279
6425,易發,8763754
6432,今展科,16122276
6435,大中,88114040
6441,廣錠,9838863
6461,益得,1133042
6462,神盾,31654805
6465,威潤,3470120
6469,大樹,17692733
6470,宇智,1239749
6474,華豫寧,1173151
6482,弘煜科,33311
6485,點序,5469509
6486,互動,6031350
6488,環球晶,3722763673
6492,生華科,5259022
6494,九齊,2948833
6496,科懋,128918
6498,久禾光,9108761
6499,益安,11610648
6506,雙邦,1385760
6508,惠光,878566
6509,聚和,21160310
6510,精測,2940012950
6512,啟發電,112037
6516,勤崴國際,1642979
6517,保勝光學,20355682
6523,達爾膚,1927028
6527,明達醫,1351400
6530,創威,56395358
6532,瑞耘,29283720
6535,順藥,11351303
6538,倉和,161252843
6542,隆中,436481
6546,正基,5818048
6547,高端疫苗,336260128
6548,長科*,204735859
6556,勝品,183517
6560,欣普羅,65286
6561,是方,18201783
6568,宏觀,8268742
6569,醫揚,2123956
6570,維田,1900250
6574,霈方,1171936
6576,逸達,11521185
6577,勁豐,1049416
6578,達邦蛋白,956922
6584,南俊國際,208147794
6588,東典光電,162478500
6590,普鴻,1903222
6593,台灣銘板,513629
6596,寬宏藝術,8215677
6597,立誠,3053
6603,富強鑫,48937684
6609,瀧澤科,2201469
6612,奈米醫材,189866
6613,朋億*,42172711
6615,慧智,101978
6616,特昇-KY,16685
6617,共信-KY,52496906
6620,漢達,174312931
6624,萬年清,677706
6629,泰金-KY,213783
6637,醫影,122435
6640,均華,427991990
6642,富致,3593096
6643,M31,184077993
6649,台生材,1177952
6651,全宇昕,17427155
6654,天正國際,4304927
6661,威健生技,49750
6662,樂斯科,57378
6664,群翊,85613862
6667,信紘科,47885717
6679,鈺太,26435390
6680,鑫創電子,371520
6683,雍智科技,955818475
6684,安格,1938982
6690,安碁資訊,106683344
6692,進能服,541720
6693,廣閎科,255614391
6697,東捷資訊,2721097
6703,軒郁,3308165
6708,天擎,113370
6712,長聖,24019712
6716,應廣,92993406
6720,久昌,3128797
6721,信實,427974
6725,矽科宏晟,16824195
6727,亞泰金屬,592893126
6728,上洋,1868020
6730,常廣,67242
6732,昇佳電子,10846729
6733,博晟生醫,700350
6735,美達科技,3380319
6739,竹陞科技,631526180
6741,91APP*-KY,4926939
6751,智聯服務,185409
6752,叡揚,3794276
6761,穩得,24367204
6762,達亞,0
6763,綠界科技*,6181397
6767,台微醫,73650
6785,昱展新藥,1576905
6788,華景電,34049620
6791,虎門科技,3921742
6803,崑鼎,11979638
6804,明係,326400
6811,宏碁資訊,253514653
6821,聯寶,3579939
6823,濾能,3311566
6829,千附精密,232370735
6840,東研信超,32161257
6841,長佳智能,4563921
6843,進典,267383
6844,諾貝兒,840462
6846,綠茵,650668
6855,數泓科,180191
6856,鑫傳,0
6859,伯特光,4534049
6865,偉康科技,3562028
6870,騰雲,37230685
6872,浩宇生醫,10857580
6874,倍力,2461755
6875,國邑*,6155757
6877,鏵友益,4691700
6881,潤德,1922880
6884,海柏特,178069
6894,衛司特,42877796
6895,宏碩系統,3117787
6899,創為精密,248522
6903,巨漢,42251939
6904,伯鑫,122500
6907,雅特力-KY,159536734
6910,德鴻,453450
6913,鴻呈,47953555
6922,宸曜,12305985
6925,意藍,5797549
6929,佑全,137498
6945,圓祥生技,13380926
6953,家碩,9897180
6961,旅天下,296471
6967,汎瑋材料,6503549
6968,萬達寵物,1889064
6971,惠民實業,279622
6982,大井泵浦,1789623
6983,華洋精機,11710396
6986,和迅,1532460
6996,力領科技,4022959
6997,博弘,0
700019,宏捷科統一5C購01,0
700020,佳邦統一5C購01,0
700021,長佳智統一5C購02,0
700022,華星光統一5C購01,182340
700023,新應材統一5B購02,200
700024,新應材統一64購02,13870
700025,雙鴻統一5B購01,0
700028,雙鴻中信59購01,0
700043,新應材永豐59購01,0
700047,宏捷科凱基59購01,0
700065,系統電統一5A購01,0
700074,驊訊元富5A購01,0
700079,華義永豐5A購01,0
700086,博智群益5A購01,0
700103,中光電元大5A購01,0
700113,雙鴻元大5A購01,0
700126,威剛國票61購01,0
700155,中光電元大5A購02,0
700173,雙鴻元大5A購02,0
700176,中光電群益5A購01,0
700186,中光電統一6A購01,17280
700188,中美晶統一5A購02,0
700189,協易機統一5A購01,0
700190,昇達科統一65購01,28140
700191,朋程統一5A購01,0
700192,朋程統一6A購01,100320
700193,東洋統一61購01,0
700194,長聖統一61購01,0
700195,家登統一5A購01,9200
700196,振曜統一5A購01,0
700197,晶宏統一5A購01,0
700198,智冠統一5C購01,0
700199,華景電統一61購01,0
700201,萬潤統一6A購01,0
700202,鈺太統一5A購01,0
700203,聰泰統一5A購01,0
700204,雙鴻統一5A購01,5000
700205,雙鴻統一61購01,800
700206,雙鴻統一61購02,4110
700207,雙鴻統一6A購01,76930
700208,騰雲統一6A購01,0
700231,旺矽元大5A購01,0
700257,大世科統一6A購01,0
700258,大綜統一6A購01,435880
700259,光焱統一5A購02,0
700260,同致統一5A購01,0
700261,宜鼎統一6A購01,54590
700262,尚凡*統一6A購01,0
700263,旺矽統一6A購01,96530
700264,長聖統一6A購01,0
700267,建榮統一6A購01,10400
700269,昱展統一6A購01,0
700270,創惟統一5A購01,1000
700271,新鉅科統一6A購01,0
700273,優群統一6A購01,0
700274,鴻呈統一5A購01,0
700275,雙鴻統一6A購02,27800
700276,鏵友益統一6A購01,0
700277,鑫聯統一5A購01,0
700279,良維國票5C購01,0
700300,雙鴻中信5A購01,0
700330,旺矽凱基5A購01,0
700342,大世科統一6A購02,0
700343,中光電統一6A購02,0
700344,尼克森統一5A購01,0
700345,立碁統一6A購01,79640
700346,良維統一6A購01,0
700347,尚凡*統一5A購01,0
700348,昱展統一6A購02,0
700350,茂達統一61購01,0
700351,竑騰統一5A購01,0
700352,新鉅科統一5A購01,0
700353,新鉅科統一6A購02,0
700354,聖暉*統一6A購01,11050
700355,撼訊統一6A購01,0
700356,擎亞統一6A購01,0
700357,聰泰統一6A購01,0
700358,寶島科統一64購01,0
700359,鏵友益統一5A購01,0
700360,鑫聯統一5A購02,0
700385,中光電元富5A購01,100
700410,中光電統一5C購01,10
700412,旺矽統一6A購02,0
700413,金山電統一5C購01,0
700414,長聖統一6A購02,0
700415,建榮統一6A購02,0
700416,高技統一5A購01,0
700417,聰泰統一6A購02,0
700451,臺慶科國票5A購01,0
700580,宜鼎兆豐5A購01,0
700594,原相元大5A購01,60
700638,原相元大5A購02,0
700670,中光電統一6A購03,13640
700671,正德統一5A購01,0
700672,旺矽統一5A購01,0
700673,信昌電統一6A購01,12300
700674,信昌電統一6A購02,0
700675,高技統一5A購02,0
700676,高技統一6A購01,1700
700677,高技統一6A購02,0
700678,智通*統一6A購01,0
