code,name,roc_year,quarter,gross_margin_pct
7584,樂意,115,2,37.84
7642,昶瑞機電,115,2,27.67
7703,銳澤,115,2,22.89
7704,明遠精密,115,2,38.19
7708,全家餐飲,115,2,47.97
7709,榮田,115,2,26.54
7712,博盛半導體,115,2,35.09
7713,威力德生醫,115,2,35.55
7714,創泓科技,115,2,17.98
7715,裕山,115,2,19.88
7716,昱臺國際,115,2,20.42
7717,萊德光電-KY,115,2,61.15
7718,友鋮,115,2,20.08
7723,築間,115,2,44.45
7728,光焱科技,115,2,63.66
7734,印能科技,115,2,66.31
7738,東聯互動,115,2,55.41
7743,金利食安,115,2,27.65
7744,崴寶,115,2,37.08
7747,昕奇雲端,115,2,15.67
7751,竑騰,115,2,51.87
7753,星亞,115,2,35.9
7757,金色三麥,115,2,54.53
7767,仁大資訊,115,2,12.08
7770,君曜,115,2,32.93
7772,耀穎,115,2,27.99
7777,能率亞洲,115,2,100.0
7782,光速火箭,115,2,66.29
7792,安葆,115,2,19.7
7794,宏碁智新,115,2,19.98
7805,威聯通,115,2,59.94
7810,捷創科技,115,2,54.24
7811,民盛,115,2,20.34
7814,海昌生技,115,2,65.69
7819,精誠金融,115,2,47.34
7820,立盈,115,2,56.09
7825,和亞智慧,115,2,63.06
7828,創新服務,115,2,79.44
7839,達人網,115,2,90.56
7842,天能綠電,115,2,5.99
7856,漢測,115,2,54.88
8024,佑華,115,2,31.42
8027,鈦昇,115,2,29.73
8032,光菱,115,2,12.53
8034,榮群,115,2,52.19
8038,長園科,115,2,23.64
8040,九暘,115,2,43.9
8042,金山電,115,2,21.25
8043,蜜望實,115,2,6.87
8044,網家,115,2,15.57
8047,星雲,115,2,38.91
8048,德勝,115,2,33.73
8049,晶采,115,2,31.52
8050,廣積,115,2,24.93
8054,安國,115,2,16.2
8059,凱碩,115,2,14.09
8064,東捷,115,2,27.38
8066,來思達,115,2,8.92
8067,志旭,115,2,54.05
8068,全達,115,2,13.66
8069,元太,115,2,59.15
8071,能率網通,115,2,15.98
8074,鉅橡,115,2,26.72
8076,伍豐,115,2,33.68
8077,洛碁,115,2,28.82
8080,泰霖,115,2,53.21
8083,瑞穎,115,2,43.16
8084,巨虹,115,2,44.5
8085,福華,115,2,4.44
8086,宏捷科,115,2,32.23
8087,麗升能源,115,2,14.89
8088,品安,115,2,14.12
8089,康全電訊,115,2,32.42
8091,翔名,115,2,37.64
8092,建暐,115,2,14.69
8093,保銳,115,2,14.98
8096,擎亞,115,2,3.81
8097,常珵,115,2,5.74
8099,大世科,115,2,23.83
8102,傑霖科技,115,2,41.74
8107,大億金茂,115,2,15.94
8109,博大,115,2,50.37
8111,立碁,115,2,29.78
8121,越峰,115,2,18.05
8147,正淩,115,2,37.9
8155,博智,115,2,23.93
8171,天宇,115,2,1.84
8176,智捷,115,2,41.44
8182,加高,115,2,12.76
8183,精星,115,2,12.53
8227,巨有科技,115,2,17.76
8234,新漢,115,2,22.93
8240,華宏,115,2,14.19
8255,朋程,115,2,26.96
8272,全景軟體,115,2,74.32
8277,商丞,115,2,33.97
8279,生展,115,2,32.09
8284,三竹,115,2,25.99
8289,泰藝,115,2,23.94
8291,尚茂,115,2,-186.67
8299,群聯,115,2,63.8
8342,益張,115,2,27.59
8349,恒耀國際,115,2,21.32
8354,冠好,115,2,19.52
8358,金居,115,2,28.02
8383,千附,115,2,24.03
8390,金益鼎,115,2,27.06
8401,白紗科,115,2,30.88
8403,盛弘,115,2,15.82
8409,商之器,115,2,77.4
8410,森田,115,2,31.97
8415,大國鋼,115,2,39.52
8416,實威,115,2,54.24
8421,旭源,115,2,20.7
8423,保綠-KY,115,2,29.57
8424,惠普,115,2,32.5
8426,紅木-KY,115,2,19.86
8431,匯鑽科,115,2,9.27
8432,東生華,115,2,55.15
8433,弘帆,115,2,23.22
8435,鉅邁,115,2,48.76
8436,大江,115,2,46.44
8437,大地-KY,115,2,37.38
8440,綠電,115,2,19.24
8444,綠河-KY,115,2,-38.56
8446,華研,115,2,60.39
8450,霹靂,115,2,37.99
8455,大拓-KY,115,2,13.29
8472,納維康,115,2,34.6
8477,創業家,115,2,14.35
8489,三貝德,115,2,55.21
8905,裕國,115,2,12.97
8906,花王,115,2,8.44
8908,欣雄,115,2,10.4
8916,光隆,115,2,13.37
8917,欣泰,115,2,19.09
8921,沈氏,115,2,7.61
8923,時報,115,2,40.34
8924,大田,115,2,8.6
8927,北基,115,2,15.93
8928,鉅明,115,2,12.72
8929,富堡,115,2,23.84
8930,青鋼,115,2,26.33
8931,大汽電,115,2,14.66
8932,智通*,115,2,60.96
8933,愛地雅,115,2,2.03
8935,邦泰,115,2,16.06
8936,國統,115,2,22.51
8937,合騏*,115,2,22.96
8938,明安,115,2,12.94
8941,關中,115,2,27.12
8942,森鉅,115,2,7.94
9949,琉園,115,2,64.34
9950,萬國通,115,2,20.32
9951,皇田,115,2,23.23
9960,邁達康,115,2,36.18
