code,name,roc_year,quarter,gross_margin_pct
3712,永崴投控,115,2,16.87
3714,富采,115,2,10.98
3715,定穎投控,115,2,14.96
3716,中化控股,115,2,39.92
3717,聯嘉投控,115,2,19.51
4104,佳醫,115,2,21.44
4106,雃博,115,2,49.4
4108,懷特,115,2,36.56
4119,旭富,115,2,21.15
4133,亞諾法,115,2,51.92
4137,麗豐-KY,115,2,79.84
4142,國光生,115,2,-92.16
4148,全宇生技-KY,115,2,28.97
4155,訊映,115,2,30.84
4164,承業醫,115,2,24.36
4169,泰宗,115,2,45.91
4178,永笙-KY,115,2,31.04
4190,佐登-KY,115,2,64.04
4195,基米-創,115,2,25.88
4306,炎洲,115,2,17.63
4414,如興,115,2,16.09
4426,利勤,115,2,-5.75
4438,廣越,115,2,13.51
4439,冠星-KY,115,2,18.63
4440,宜新實業,115,2,19.0
4441,振大環球,115,2,26.16
4526,東台,115,2,15.49
4532,瑞智,115,2,14.05
4536,拓凱,115,2,32.72
4540,全球傳動,115,2,17.46
4545,銘鈺,115,2,16.46
4551,智伸科,115,2,24.03
4552,力達-KY,115,2,17.39
4555,氣立,115,2,31.68
4557,永新-KY,115,2,24.25
4560,強信-KY,115,2,33.08
4562,穎漢,115,2,43.34
4564,元翎,115,2,-26.04
4566,時碩工業,115,2,23.21
4569,六方科-KY,115,2,26.0
4571,鈞興-KY,115,2,34.37
4572,駐龍,115,2,34.1
4576,大銀微系統,115,2,37.97
4581,光隆精密-KY,115,2,32.98
4582,聚恆-創,115,2,21.88
4583,台灣精銳,115,2,52.4
4585,達明,115,2,51.11
4588,玖鼎電力,115,2,33.36
4590,富田-創,115,2,31.85
4720,德淵,115,2,20.14
4722,國精化,115,2,18.21
4736,泰博,115,2,45.51
4737,華廣,115,2,33.81
4739,康普,115,2,16.72
4746,台耀,115,2,40.97
4755,三福化,115,2,23.12
4763,材料*-KY,115,2,48.06
4764,雙鍵,115,2,26.79
4766,南寶,115,2,33.73
4770,上品,115,2,35.32
4771,望隼,115,2,42.32
4807,日成-KY,115,2,22.25
4904,遠傳,115,2,32.35
4906,正文,115,2,11.32
4912,聯德控股-KY,115,2,20.18
4915,致伸,115,2,15.35
4916,事欣科,115,2,20.52
4919,新唐,115,2,38.68
4927,泰鼎-KY,115,2,-9.09
4930,燦星網,115,2,8.16
4934,太極,115,2,-52.12
4935,茂林-KY,115,2,11.77
4938,和碩,115,2,4.43
4942,嘉彰,115,2,18.92
4943,康控-KY,115,2,-5.84
4949,有成精密,115,2,38.02
4952,凌通,115,2,38.49
4956,光鋐,115,2,17.4
4958,臻鼎-KY,115,2,22.43
4960,誠美材,115,2,-0.47
4961,天鈺,115,2,27.29
4967,十銓,115,2,40.18
4968,立積,115,2,33.68
4976,佳凌,115,2,-32.21
4977,眾達-KY,115,2,21.48
4989,榮科,115,2,0.34
4994,傳奇,115,2,67.56
4999,鑫禾,115,2,9.63
5007,三星,115,2,28.2
5203,訊連,115,2,84.95
5215,科嘉-KY,115,2,20.19
5222,全訊,115,2,49.99
5225,東科-KY,115,2,13.14
5234,達興材料,115,2,43.0
5236,凌陽創新,115,2,60.6
5243,乙盛-KY,115,2,25.11
5244,弘凱,115,2,24.65
5258,虹堡,115,2,29.9
